epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,24543.3,0.04989,0.99066,1,0.02676,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,24861.8,0.05,0.99068,1,0.0265,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,25185.9,0.0487,0.99088,1,0.0261,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,25501.3,0.04743,0.99094,1,0.02567,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,25823.5,0.04712,0.99108,1,0.02557,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,26145.7,0.04498,0.99121,1,0.02551,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,26467.9,0.04492,0.99131,1,0.02518,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,26790,0.04303,0.9914,1,0.025,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,27102.8,0.04156,0.99142,1,0.02488,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,27420,0.04005,0.99116,1,0.02483,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,27739.7,0.03896,0.9914,1,0.02467,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,28057.9,0.03734,0.99162,1,0.024,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,28374.8,0.03552,0.9917,1,0.02355,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,28688.1,0.03479,0.99201,1,0.02314,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,29019.2,0.033,0.99201,1,0.02295,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,29338.9,0.03132,0.99197,1,0.02277,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,29652.5,0.0303,0.99221,1,0.02237,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,29978.7,0.02844,0.99214,1,0.02222,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,30297.5,0.02632,0.99255,1,0.02193,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,30617.7,0.02451,0.99266,1,0.02178,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,30940,0.0232,0.99286,1,0.02147,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,31256.2,0.02121,0.99296,1,0.02126,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,31574.7,0.01977,0.99331,1,0.02084,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,31892.2,0.0174,0.99336,1,0.02067,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
